local_forecast_date,bu_sk,item_sk,base_demand_forecast_units,demand_forecast_units,demand_forecast_net_deviation_quantity,demand_forecast_accuracy_score_ifk,demand_forecast_is_accurate_flag,operational_forecast_units,operational_forecast_net_deviation_quantity,operational_forecast_accuracy_score_ifk,operational_forecast_is_accurate_flag,operational_orderable_forecast_units,operational_carry_away_forecast_units,calculated_override,country_activity,days_last_change_country_activity
2024-01-01 00:00:00,1,1,5.62,4.94,-1.06,5,True,4.91,-1.09,5,True,4.55,0.65,3.52,0.8924,28
2024-01-02 00:00:00,1,1,4.22,3.67,3.67,4,True,3.57,3.57,4,True,3.25,0.19,1.02,1.1918,20
2024-01-03 00:00:00,1,1,4.42,4.21,-2.79,4,True,4.42,-2.58,4,True,4.03,0.43,4.93,1.1552,12
2024-01-04 00:00:00,1,1,4.11,3.49,0.49,5,True,3.75,0.75,5,True,3.51,0.22,0.5,1.0318,18
2024-01-05 00:00:00,1,1,6.52,6.02,6.02,3,False,6.3,6.3,3,False,5.68,0.75,1.29,1.2556,24
2024-01-06 00:00:00,1,1,8.69,7.56,3.56,4,True,7.17,3.17,4,True,6.34,0.66,1.24,0.9279,24
2024-01-07 00:00:00,1,1,8.55,7.5,-8.5,3,False,8.19,-7.81,3,False,6.96,0.84,0.28,0.7063,23
2024-01-08 00:00:00,1,1,4.35,3.8,2.8,4,True,3.55,2.55,4,True,3.3,0.44,3.78,1.2721,20
2024-01-09 00:00:00,1,1,4.07,3.73,-0.27,5,True,3.62,-0.38,5,True,3.12,0.39,2.78,0.8615,1
2024-01-10 00:00:00,1,1,4.15,4.14,4.14,4,True,4.76,4.76,4,True,4.25,0.67,1.36,1.1105,0
2024-01-11 00:00:00,1,1,5.56,5.01,4.01,4,True,5.02,4.02,4,True,4.66,0.62,3.44,0.9894,8
2024-01-12 00:00:00,1,1,5.45,4.78,2.78,4,True,5.25,3.25,4,True,4.71,0.49,4.29,0.8406,17
2024-01-13 00:00:00,1,1,9.91,9.41,9.41,3,False,9.89,9.89,3,False,8.75,0.95,1.49,1.1432,14
2024-01-14 00:00:00,1,1,9.66,8.19,8.19,3,False,8.52,8.52,3,False,7.62,0.95,2.65,0.8901,10
2024-01-15 00:00:00,1,1,5.28,5.2,-2.8,4,True,5.23,-2.77,4,True,4.81,0.77,3.59,1.0597,24
2024-01-16 00:00:00,1,1,5.97,5.75,3.75,4,True,5.98,3.98,4,True,5.27,0.42,2.62,0.7964,14
2024-01-17 00:00:00,1,1,5.8,5.11,5.11,3,False,5.41,5.41,3,False,5.08,0.66,3.13,1.1965,29
2024-01-18 00:00:00,1,1,5.46,5.26,5.26,3,False,5.24,5.24,3,False,4.95,0.75,1.19,1.1081,11
2024-01-19 00:00:00,1,1,4.57,4.13,1.13,5,True,4.43,1.43,5,True,4.02,0.26,4.63,1.128,25
2024-01-20 00:00:00,1,1,7.9,7.26,1.26,5,True,7.5,1.5,5,True,7.07,0.84,1.66,0.9491,14
2024-01-21 00:00:00,1,1,9.83,9.54,9.54,3,False,9.16,9.16,3,False,8.44,0.69,0.15,0.902,24
2024-01-22 00:00:00,1,1,3.8,3.86,-9.14,3,False,3.85,-9.15,3,False,3.63,0.56,0.5,0.8421,7
2024-01-23 00:00:00,1,1,4.15,3.87,0.87,5,True,4.2,1.2,5,True,3.65,0.5,3.4,1.03,21
2024-01-24 00:00:00,1,1,5.56,4.79,-7.21,3,False,5.3,-6.7,3,False,4.55,0.46,2.31,0.78,21
2024-01-25 00:00:00,1,1,5.95,5.5,2.5,4,True,5.32,2.32,4,True,4.91,0.76,3.81,0.8893,16
2024-01-26 00:00:00,1,1,4.7,4.39,4.39,4,True,4.51,4.51,4,True,4.22,0.32,4.73,1.0174,9
2024-01-27 00:00:00,1,1,10.73,9.83,9.83,3,False,10.3,10.3,2,False,9.79,1.22,4.62,1.1778,7
2024-01-28 00:00:00,1,1,7.5,6.45,5.45,3,False,6.74,5.74,3,False,5.9,0.84,0.48,1.2168,11
2024-01-29 00:00:00,1,1,4,3.77,3.77,4,True,3.9,3.9,4,True,3.43,0.33,0.82,1.1637,26
2024-01-30 00:00:00,1,1,5.34,4.5,-3.5,4,True,5.09,-2.91,4,True,4.64,0.46,1.44,0.86,4
2024-01-31 00:00:00,1,1,4.88,4.17,-0.83,5,True,4.17,-0.83,5,True,3.68,0.31,4.77,0.855,26
2024-02-01 00:00:00,1,1,4.06,3.75,-6.25,3,False,3.64,-6.36,3,False,3.43,0.4,1.84,1.2016,5
