transaction_date,unique_transaction_identifier,source_system,bu_sk,sub_market_allocation_flag,transaction_no,transaction_line_no,transaction_type,item_no,range_offer,sales_channel,created_net_quantity,created_sales_net_amount_euro,created_sales_gross_amount_euro
2024-01-01 00:00:00,J2TYA3ADOYNC,POS_V3,1,N,100001,10,ONLINE_PAY,123456,STANDARD,CLICK_AND_COLLECT,6,1333.68,1612.52
2024-01-01 00:00:00,M0JGQ1RJU1N1,POS_V2,1,N,100002,7,CASH,345678,STANDARD,STORE,6,1244.3,1516.89
2024-01-01 00:00:00,8SJ8HQYOKIYO,POS_V2,1,N,100003,4,CASH,345678,SEASONAL,STORE,4,781.12,927.4
2024-01-01 00:00:00,6G3RVZ1JV1QF,POS_V3,1,N,100004,10,ONLINE_PAY,456789,FAMILY,ONLINE,5,1217.14,1449.21
2024-01-01 00:00:00,AX9TKZ3RZJ0W,POS_V2,1,N,100005,10,CARD,567890,STANDARD,STORE,6,1250.55,1509.65
2024-01-01 00:00:00,1F0DJWNM4C2B,POS_V3,1,N,100006,9,CASH,1123456,SEASONAL,STORE,5,1099.18,1351.13
2024-01-01 00:00:00,UUZA93GU27EC,POS_V2,1,N,100007,9,CARD,1345678,FAMILY,STORE,1,228.83,283.08
2024-01-01 00:00:00,OYR5OPCB4N07,POS_V2,1,N,100008,9,CASH,1567890,FAMILY,STORE,1,182.12,216.05
2024-01-01 00:00:00,026LB4V3H9MA,POS_V2,1,N,100009,9,CARD,1567890,SEASONAL,STORE,3,619.62,744.47
2024-01-01 00:00:00,TLQLFRZFUS4Y,POS_V2,1,N,100010,7,ONLINE_PAY,1567890,FAMILY,ONLINE,4,807.97,957.31
2024-01-01 00:00:00,VHC9PTY5YJ2L,POS_V2,1,N,100011,2,CASH,1678901,FAMILY,STORE,6,1212.04,1473
2024-01-01 00:00:00,7188SHM6YFX5,POS_V2,1,N,100012,4,CASH,1789012,SEASONAL,STORE,2,410.33,496.47
2024-01-01 00:00:00,KBZD9QN3939M,POS_V2,1,N,100013,4,CARD,1789012,STANDARD,STORE,1,210.68,257.14
2024-01-01 00:00:00,EJGCYSF0OPRD,POS_V3,1,N,100014,10,ONLINE_PAY,1901234,STANDARD,CLICK_AND_COLLECT,5,1001.93,1185.28
2024-01-01 00:00:00,2UILACCU4U5P,POS_V2,1,N,100015,2,CASH,2012345,SEASONAL,STORE,2,445.56,540
2024-01-01 00:00:00,M5T5HQWDUBX0,POS_V2,1,N,100016,9,CARD,2123456,SEASONAL,STORE,3,652.66,790.39
2024-01-01 00:00:00,SIMSO0S63WSS,POS_V2,1,N,100017,5,ONLINE_PAY,2234567,FAMILY,ONLINE,3,640.79,769.81
2024-01-01 00:00:00,5JIN8PU15Z9A,POS_V3,1,N,100018,10,CARD,2345678,STANDARD,STORE,4,843.15,1014.59
2024-01-01 00:00:00,CX14QMSEGSLT,POS_V3,1,N,100019,9,CARD,2567890,STANDARD,STORE,6,1201.98,1488.28
2024-01-01 00:00:00,C2DVSYLFPX0U,POS_V3,1,N,100020,10,ONLINE_PAY,2678901,STANDARD,CLICK_AND_COLLECT,1,203.83,250.9
2024-01-01 00:00:00,LTBTOFIFWB4D,POS_V3,1,N,100021,5,CARD,2789012,SEASONAL,STORE,3,605.37,714.43
2024-01-01 00:00:00,TOB4A13L3W9N,POS_V3,1,N,100022,4,CASH,2890123,FAMILY,STORE,5,1011.73,1251.58
2024-01-01 00:00:00,F5FIZJJ57XIA,POS_V3,1,N,100023,1,CASH,2890123,STANDARD,STORE,5,998.12,1224.56
2024-01-01 00:00:00,YL4RPK6JF0W8,POS_V2,1,N,100024,2,ONLINE_PAY,2901234,SEASONAL,ONLINE,3,693.25,820.76
2024-01-01 00:00:00,16YMN1Q5Z2HC,POS_V2,2,N,100025,1,CARD,234567,STANDARD,STORE,2,359.48,441.52
2024-01-01 00:00:00,UPDB7OC5RQJN,POS_V2,2,N,100026,9,ONLINE_PAY,234567,SEASONAL,ONLINE,5,984.96,1164.57
2024-01-01 00:00:00,6WJTYQ51Y9S2,POS_V3,2,N,100027,10,ONLINE_PAY,345678,STANDARD,ONLINE,2,418.66,505.95
2024-01-01 00:00:00,NSS3O53IT0HC,POS_V3,2,N,100028,1,CASH,789012,STANDARD,STORE,5,1073.64,1307.23
2024-01-01 00:00:00,IOPSOB58GE1E,POS_V3,2,N,100029,10,CASH,890123,FAMILY,STORE,7,1417.47,1723.89
2024-01-01 00:00:00,T12EC0Z7R3MT,POS_V3,2,N,100030,1,ONLINE_PAY,890123,STANDARD,ONLINE,2,419.71,503.13
2024-01-01 00:00:00,5YWCPZM6L662,POS_V2,2,N,100031,5,CARD,901234,SEASONAL,STORE,2,487.57,584.66
2024-01-01 00:00:00,SG4J79PAYDFO,POS_V3,2,N,100032,8,CARD,901234,SEASONAL,STORE,7,1529.36,1835.02
2024-01-01 00:00:00,QND2G8Z8323O,POS_V3,2,N,100033,6,CASH,1012345,STANDARD,STORE,5,1145.73,1384.67
2024-01-01 00:00:00,ENX95D2ET1ZC,POS_V3,2,N,100034,4,CARD,1123456,FAMILY,STORE,3,614.06,732.55
2024-01-01 00:00:00,IEAMQHMPRAQG,POS_V2,2,N,100035,4,CARD,1234567,SEASONAL,STORE,4,784.77,970.63
2024-01-01 00:00:00,F2YOQC8NZE0T,POS_V2,2,N,100036,1,CARD,1345678,FAMILY,STORE,5,1239.91,1475.63
2024-01-01 00:00:00,LRELF3RP8JYM,POS_V2,2,N,100037,4,ONLINE_PAY,1456789,SEASONAL,CLICK_AND_COLLECT,2,382.58,452.55
2024-01-01 00:00:00,A7KJB0EIS0NB,POS_V3,2,N,100038,6,CASH,1456789,SEASONAL,STORE,5,932.63,1104.39
2024-01-01 00:00:00,G9YPJYFEYBRN,POS_V3,2,N,100039,1,ONLINE_PAY,2012345,FAMILY,ONLINE,7,1370.53,1626.78
2024-01-01 00:00:00,W15KSUY80H2G,POS_V3,2,N,100040,3,CARD,2012345,STANDARD,STORE,3,658.92,784.87
