bu_sk,item_sk,local_date,outlier_flags,available_stock,reserved_stock,allocated_stock,blocked_stock,demand_stock,acceptable_stock,avoidable_stock,avoidable_reason_ifk,acceptable_stock_goal,avoidable_stock_goal,warehouse_unprotected,warehouse_protected,warehouse_total,warehouse_unprotected_demand_stock,warehouse_protected_demand_stock,shelf_stock,osa_want_stock_flag,available_stock_at_opening,blocked_stock_at_opening,stock_on_hand_at_opening,osa_want_stock_quantity,osa_have_stock_flag,osa_need_stock_flag,osa_missed_sales_quantity,,
1,1,2024-01-01 00:00:00,"{""flag_stock"": false}",142,20,10,4,28,89.8,52.2,4,92.6,48.1,200,130,330,16.6,5.5,21,1,139,4,173,34,0,1,1,,
1,1,2024-01-02 00:00:00,"{""flag_stock"": false}",147,13,6,5,31,89,58,5,93.7,54,207,131,338,11.9,4.1,31,1,142,4,165,36,1,0,0,,<openpyxl.worksheet.formula.ArrayFormula object at 0x109a46120>
1,1,2024-01-03 00:00:00,"{""flag_stock"": false}",151,14,8,3,17,85.9,65.1,2,89.2,64.6,198,135,333,16.8,0.9,19,1,147,5,174,18,1,0,0,,
1,1,2024-01-04 00:00:00,"{""flag_stock"": false}",156,18,12,2,25,103.5,52.5,3,113.5,50.7,192,139,331,11.3,2.3,23,1,151,1,182,28,1,0,0,,
1,1,2024-01-05 00:00:00,"{""flag_stock"": false}",156,13,5,2,29,91.9,64.1,2,96.5,62,186,134,320,19.7,5.8,27,1,156,1,175,28,0,1,1,,
1,1,2024-01-06 00:00:00,"{""flag_stock"": false}",157,18,4,1,31,91.3,65.7,3,94.1,64,191,138,329,17.4,5.9,14,1,156,2,180,35,1,0,0,,
1,1,2024-01-07 00:00:00,"{""flag_stock"": false}",161,4,6,8,38,96.8,64.2,5,99.2,60.6,185,134,319,27,7,12,1,157,8,175,36,0,1,1,,
1,1,2024-01-08 00:00:00,"{""flag_stock"": false}",161,17,8,5,32,99.5,61.5,3,103,59.8,188,138,326,14.9,6.6,20,1,161,3,189,27,0,1,1,,
1,1,2024-01-09 00:00:00,"{""flag_stock"": false}",165,17,2,1,21,115.7,49.3,4,124,44.6,190,136,326,14.8,3.8,14,1,161,1,181,18,1,0,0,,
1,1,2024-01-10 00:00:00,"{""flag_stock"": false}",170,19,4,0,23,117.3,52.7,1,119.5,47.4,179,138,317,7.8,2.7,31,1,165,0,188,20,1,0,0,,
1,1,2024-01-11 00:00:00,"{""flag_stock"": false}",184,14,8,6,18,122.8,61.2,1,134.1,58.4,164,138,302,13.6,2.8,16,1,170,7,199,15,0,1,1,,
1,1,2024-01-12 00:00:00,"{""flag_stock"": false}",184,16,8,4,29,122.7,61.3,2,124.8,55.9,167,134,301,17.5,4.2,19,1,184,3,211,30,0,1,1,,
1,1,2024-01-13 00:00:00,"{""flag_stock"": false}",192,12,1,6,41,115.1,76.9,1,115.8,73.3,166,129,295,13.7,6.3,21,1,184,6,203,40,0,1,1,,
1,1,2024-01-14 00:00:00,"{""flag_stock"": false}",195,19,11,1,30,127.5,67.5,5,139.4,64.6,176,128,304,17.5,3.4,26,1,192,0,222,24,0,1,1,,
1,1,2024-01-15 00:00:00,"{""flag_stock"": false}",204,16,2,7,30,145.6,58.4,3,158.9,53.8,164,124,288,19.8,2,22,1,195,7,220,27,0,1,1,,
1,1,2024-01-16 00:00:00,"{""flag_stock"": false}",205,20,6,4,30,143.9,61.1,3,151.3,60,177,126,303,15.1,4.9,26,1,204,4,234,26,0,1,1,,
1,1,2024-01-17 00:00:00,"{""flag_stock"": false}",221,19,5,6,32,129.9,91.1,4,141.4,89.5,162,124,286,20.3,8.2,26,1,205,5,234,38,0,1,1,,
1,1,2024-01-18 00:00:00,"{""flag_stock"": false}",218,16,10,5,27,149.9,68.1,2,159.4,65.3,167,123,290,14.5,4.4,23,1,221,6,253,36,0,1,1,,
1,1,2024-01-19 00:00:00,"{""flag_stock"": false}",221,12,5,4,27,165.6,55.4,1,180.3,51.1,171,125,296,23.9,4.5,26,1,218,2,237,37,1,0,0,,
1,1,2024-01-20 00:00:00,"{""flag_stock"": false}",223,13,7,1,46,151.8,71.2,4,163.8,66.9,171,125,296,22.1,5.9,25,1,221,0,241,52,1,0,0,,
1,1,2024-01-21 00:00:00,"{""flag_stock"": false}",229,14,8,1,38,138.9,90.1,1,141.7,85.9,168,118,286,19.1,6.2,11,1,223,1,246,34,0,1,1,,
1,1,2024-01-22 00:00:00,"{""flag_stock"": false}",238,15,7,4,31,147.1,90.9,3,153.7,90.5,176,120,296,14.2,4.1,24,1,229,5,256,33,1,0,0,,
1,1,2024-01-23 00:00:00,"{""flag_stock"": false}",247,18,8,3,30,164,83,5,171,76.5,176,120,296,23.7,7.8,23,1,238,1,265,19,1,0,0,,
1,1,2024-01-24 00:00:00,"{""flag_stock"": false}",248,14,4,2,24,138.6,109.4,2,141.6,100.8,189,113,302,16.1,4.6,5,1,247,2,267,27,0,1,1,,
1,1,2024-01-25 00:00:00,"{""flag_stock"": false}",241,19,8,1,22,139.6,101.4,2,148.5,93.6,188,107,295,13.4,5.7,17,1,248,0,275,20,0,1,1,,
1,1,2024-01-26 00:00:00,"{""flag_stock"": false}",252,22,7,4,28,183.5,68.5,5,190.6,65.7,191,106,297,15.1,0.6,24,1,241,5,275,24,1,0,0,,
1,1,2024-01-27 00:00:00,"{""flag_stock"": false}",261,14,9,9,49,144.4,116.6,5,144.8,110.9,187,111,298,22.5,5.2,30,1,252,9,284,46,0,1,1,,
1,1,2024-01-28 00:00:00,"{""flag_stock"": false}",246,14,0,5,39,164.6,81.4,5,171.6,78,189,112,301,24.6,6.2,19,1,261,4,279,36,1,0,0,,
1,1,2024-01-29 00:00:00,"{""flag_stock"": false}",253,17,12,8,30,172.7,80.3,5,180.9,79.8,187,108,295,16.2,6.6,25,1,246,9,284,32,1,0,0,,
1,1,2024-01-30 00:00:00,"{""flag_stock"": false}",254,16,7,2,30,168.4,85.6,2,177.1,78.6,178,109,287,12.9,5,22,1,253,1,277,32,0,1,1,,
1,1,2024-01-31 00:00:00,"{""flag_stock"": false}",260,13,8,5,28,143.5,116.5,2,145.8,108,171,107,278,19.9,5.4,23,1,254,6,281,24,0,1,1,,
1,1,2024-02-01 00:00:00,"{""flag_stock"": false}",258,11,4,5,27,144.6,113.4,4,155.5,107.6,167,108,275,11.3,3.7,11,1,260,4,279,27,1,0,0,,
1,1,2024-02-02 00:00:00,"{""flag_stock"": false}",261,17,8,5,28,166.9,94.1,3,173.9,92.2,166,101,267,17.4,3.9,22,1,258,5,288,24,1,0,0,,
